id,isbn13,isbn10,full_title,match_source,match_confidence
9cc68604-deaf-4cbe-8fca-abca3f373418,9783442165377,3442165377,Die Summ- Trennkost. Das Original,openlibrary,0.427
64147dfc-17e1-45f6-871d-894bcea7353e,9780060563738,0061091790,After all these years,openlibrary,0.995
7014ac78-7871-479a-9d33-e226af81cae7,9783868711370,3868711570,USA - der Osten,openlibrary,0.902
63a0d81c-bcba-40a3-adf6-47adaaa91959,9783777003085,3777003085,Die Hochzeit in der Schwarzwaldklinik,openlibrary,1.0
11b55fb3-91dc-41ae-9477-74958da8a441,9783426272138,3426775662,Nur der Himmel ist höher. Mein Weg auf den Mount Everest,openlibrary,1.0
9988bfa1-15da-432c-a1c8-59531d6a34a4,9783596179886,3596179882,Die Enden der Welt,openlibrary,1.0
ca388dff-669f-4fbb-98c4-1bad564494b5,,,Scarlett,openlibrary,1.0
6fd1bea8-06e2-4130-b7df-8c31515e2dd0,9783518019696,3518019694,Der weiße Dampfer.,openlibrary,0.515
aba99250-cbd9-424e-8abc-4aeb98e55963,9783426628676,3426195445,Der Wanderchirurg,openlibrary,0.981
1cee9818-3506-49ec-892e-17c31c65530e,9783453006881,3453006887,Die Araber und ihr Traum vom Grossarabischen Reich,openlibrary,0.98
661bcd50-5c0a-4e93-a8b1-a9aa26702cb4,9783896673565,3896673564,Hirn ist aus,openlibrary,0.982
60b2601f-7bfd-4802-bbdf-e814d4e1a89d,9783426781791,3426781794,Feder im Sturm,openlibrary,1.0
20a7a298-cb78-4d97-b0af-c047b556fcab,9783453016354,3453016351,Der Gladiator,openlibrary,1.0
40dea83f-8517-435e-9412-b1f284fc7111,9783453051089,3453051084,Frankreich. Die wunderbare Illusion,openlibrary,0.6
e768c1c7-cd22-4a93-b9e6-1351eb99314d,9783770157204,3770157206,"DuMont Extra, Barcelona",openlibrary,1.0
a625f3ec-6109-4c26-8035-9ec4cb68aa0b,,,Karawanen der nacht,openlibrary,1.0
4e46d7ec-5669-4262-8848-82863f965d2c,9783426631614,342663161X,Das Verlorene Labyrinth,openlibrary,1.0
7fc76e51-6206-49e3-9d43-3988d7bb8d02,9783462401554,3462401556,Aufstand der Gettos,openlibrary,1.0
c34671cb-4dd3-473c-8bbd-538476fe3bc3,9783442133499,3442133173,"Ich, Prinzessin aus dem Hause Al Saud / Ich, Prinzessin Sultana, und meine Töchter",openlibrary,1.0
f826b514-13b4-4d26-8b7b-6a03fb3aa742,9783426031766,3426031760,Ein Mensch Namens Jesus,openlibrary,1.0
77f20119-7950-499b-b6c9-a865be7d168d,9783453130906,3453130901,Im Netz der Spinnen,openlibrary,1.0
1b987cca-be38-4596-9c7d-f55059476990,9783809436850,3809436852,Gesundheit in unseren Händen,openlibrary,0.972
16f24a23-a17d-4517-8692-76ee1a00650e,9783548281629,3548281621,Das Leben ist keine Waldorfschule,openlibrary,0.916
921a317e-fe9d-459e-b2cb-f90a4cdc42a6,9783453108141,3453108140,Die Sultanin,openlibrary,1.0
7cb13206-8379-4c84-8e82-fa6b34088c5b,9783453043930,3453043936,Das Wok Kochbuch,openlibrary,1.0
8b959695-8431-4c4b-8878-33ea788e556c,9783532628034,3532628031,Hypermoral,openlibrary,1.0
7889c6c6-c065-4fb5-bce8-1788083a01cf,9783596124343,3596124344,Die Geschichte meines Sohnes,openlibrary,1.0
a21c9fd4-a094-4d8a-b050-4b128172f800,9782070461776,1526694492,Just Kids,openlibrary,0.97
8bd680af-370e-4284-bf58-5614aa2ed150,9783767905535,3767905531,"Tauchen verständlich gemacht. Grundlagen, Ausrüstung, Tauchpraxis",openlibrary,1.0
3f3981bc-3996-47d0-b0b6-fe67afe11ac6,9783453130906,3453130901,Im Netz der Spinnen,openlibrary,1.0
21f4c713-3d5d-4151-824d-cdbbd472db03,9783453053113,3453053117,Pilger des Hasses. Ein mittelalterlicher Kriminalroman,openlibrary,0.92
58952750-dc8c-4a8d-8219-7855c132042f,9783442029235,3442029236,Im Eismeer verschollen,openlibrary,1.0
aac87119-5ab6-440c-91e1-2c74fc049985,9783442164752,3572011175,Wild Thing. Sex- Tips for Boys and Girls,openlibrary,1.0
34893a0d-9217-4f78-a309-0f7da8a4fec1,9783426872369,3426776111,Der Weg der Kaiserin.,openlibrary,1.0
deccba51-9c5a-4a02-992c-3441d4d00f11,9783551581068,3551581061,Der Clan der Otori 1. Das Schwert in der Stille,openlibrary,1.0
646328ac-45d4-42c0-bf17-d05c52627d91,9783426640142,3426640147,Drei Minuten mit der Wirklichkeit. 5 CDs. Mit original argentinischer Tangomusik.,openlibrary,1.0
88ef85e6-1461-4a1c-a6f9-a52cb9d5369b,9781587244872,1588360792,Reading Lolita in Tehran: a memoir in books,openlibrary,0.983
16c57233-e065-4fc7-920a-ed87532df6fe,9783596510207,310005220X,Der Schwimmer,openlibrary,0.9
cec36535-ef98-4405-8769-61e68984d321,9783453165182,3453165187,Therapie,openlibrary,1.0
e0f06582-dedc-432f-ba32-f316dd205189,9783570209554,3570209555,Geliebte Brieffeindin,openlibrary,0.981
5e3b64a0-09b7-41f3-aca7-3efdaccf967b,9780593057414,0739313118,The Da Vinci Code,openlibrary,0.984
56155ada-2b58-4290-809d-a6094d6906d3,,,Die Stimme der Stummen: die demokratische Bewegung in der Sowjetunion,openlibrary,1.0
727d4112-7512-464b-8b9b-503a712b6024,9783405160227,3405160227,Freizeit- Spaß mit Hunden. Spiele. Sport. Tricks,openlibrary,0.48
e967b250-37b0-4827-aade-d47cc805a255,9783442440771,3442440777,Die siebte Geißel,openlibrary,0.578
d18925af-2d2c-455d-b746-a995b3f3043e,9783548283517,3548283519,Wer Wind sät,openlibrary,1.0
15ee1e95-a9ab-423d-9301-93cabe0580d0,9783442158041,3442158044,Als Schisser um die Welt,openlibrary,1.0
ee009530-371c-4035-b58c-d9fe7148185a,9783426624579,3426624575,Simbayo - Jenseits der Sonne.,openlibrary,1.0
f307e8ca-f281-414a-a0b8-9371316b6136,9783462034486,3462034480,Der Dativ ist dem Genitiv sein Tod,openlibrary,1.0
aed0c87e-3cf2-45c9-a1de-f13e79fbe6db,9781250231987,8416863482,Factfulness,openlibrary,0.975
648f3a28-f933-48f3-bb80-9b9addfc84b2,9783763011780,3763011781,Imperator mundi,openlibrary,1.0
365db2ed-54c2-4a22-aaec-3a55c0a34d66,9783596157136,3596157137,Reise Zum Mittelpunkt Der Erde,openlibrary,1.0
cb3799dc-b0b7-41f5-9f4f-2e4cdcbf8fff,9788373376588,3404123433,Kane & Abel,openlibrary,0.613
f45ff4f7-f907-4901-b988-bc0da3640b99,9783570009666,3570009661,Inseln der Südsee,openlibrary,1.0
7f9e72ea-d44b-4c34-8749-fdaa70d89572,9783596169474,359616947X,Weras Talent,openlibrary,1.0
493ec3fd-0874-40be-a7b2-466fb2bba950,9783734111174,373411117X,AM ENDE DES SCHWEIGENS,openlibrary,1.0
0b4176da-332b-4d9b-911b-b9781c77b7b5,9783770125852,377013849X,Mecklenburg-Vorpommern,openlibrary,0.765
e8b6e1e4-b205-44b0-8430-301dfcb80199,9783426192047,3426192047,Das Haus Kanzē,openlibrary,0.585
299286aa-fe1d-4dd3-ba76-605b97655f87,9783570161159,3570161153,Dann mach ich eben Schluss,openlibrary,0.9
c0ec1bcc-5960-4acf-a61f-f28497bd4022,9782702867846,1573229326,How to Be Good,openlibrary,0.977
37bb2acd-71a5-4863-b0cd-04d96c5eeab5,9780753817568,075381756X,A Leap of Faith,openlibrary,0.815
209bfb4d-f278-4906-9f43-47c2cb319666,,,Monsoon,openlibrary,1.0
099c3cf5-845c-4d60-87d2-ff6aaa953583,9783791819952,379181995X,Die Grossen der Liebe,openlibrary,1.0
643a444d-d8e3-4acb-bada-299b4b869722,9783405155056,3405155053,Was die Cowboys noch wußten,openlibrary,1.0
1260b2f3-a18c-434b-ac33-319fa6fe7c7e,9783453869646,3453869648,Die Novizin,openlibrary,1.0
77496dc7-4aad-4025-9cb1-fa73fc405791,9783772366864,3772366864,Voice over IP. Sprach- Daten- Konvergenz in der Praxis.,openlibrary,0.85
c929cda7-8d78-4828-819f-53108658d944,9783596030750,3596030757,Der Himmel so fern,openlibrary,1.0
e3077b51-255d-4860-816d-bba05512abbd,9783895813559,3895813559,Tagebuch einer Hospitantin,openlibrary,1.0
d1c9acbf-411d-4f21-b73b-9ff3256afb6b,9783924661014,3924661014,Eine Brücke nach Uganda,openlibrary,1.0
75b6e4f0-fe20-4aa3-a241-93d3b6eac061,9783770136148,3770136144,Neuseeland. Richtig reisen,openlibrary,0.682
5eda8071-1c03-42c3-9fdb-bf3c3f54db60,9783737363228,0671836706,Moby Dick,openlibrary,0.982
8500b045-b636-4505-a5c2-b4178fe1acc4,9783453000841,3453000846,Natascha,openlibrary,1.0
9d701258-e1e3-4e8c-8696-1b7d502dc499,9783150109229,3150109221,Essen und Trinken im alten Rom,openlibrary,0.93
826ad24b-c49a-4d1d-a032-064ceb8d8508,9782830704259,2830704258,Beauté de la Bourgogne,openlibrary,0.487
0955612c-ceaa-4797-8b98-b3c99774a994,9785170912360,9877251868,Mr. Mercedes,openlibrary,0.97
dc148491-e976-42a9-a954-8edd802796ac,9783548375076,3548375073,3096 Tage,openlibrary,1.0
11c32db3-f22f-4e4e-9789-ea56925c52df,9783935890687,3935890680,Black Bazar,openlibrary,1.0
1b7de0c1-635d-448b-bfe8-160bb4ca66cb,9783596196975,3596520851,Felsenfest,openlibrary,1.0
3f867333-6f3a-49e5-947d-146ddde36b79,9780091955106,0091955106,"The Life-Changing Magic of Tidying: A simple, effective way to banish clutter forever",openlibrary,1.0
69162c35-67c3-4df2-a14f-08b98ee089e0,9783765427213,3765427217,"Tage, die Deutschland und die Welt veränderten",openlibrary,0.398
a20efb50-fc78-41ac-a711-768186431d1c,9783826686740,3826686748,PHP und MySQL fu r Kids,openlibrary,1.0
bab43cbb-545e-4857-8148-5f13e5ade636,9783800022663,3453116542,Hagen von Tronje: Ein Nibelungen-Roman,openlibrary,1.0
370aaf9e-47ee-4a78-af96-2f2aa7d45ce3,9783570103685,3570103684,Der Pakt gegen den Papst,openlibrary,1.0
aa7ef3e0-ebba-4215-b810-fdd781b0bc79,9783596703661,3596521807,Bella Germania,openlibrary,1.0
3d9646b2-6efe-49ef-a97e-45a21ed051de,9783442412907,0792456335,Robin Hood,openlibrary,1.0
692e0a6d-f378-4f34-adae-cdce94094ffc,9783453006645,345300664X,Mit dem Herz eines Löwen. Roman.,openlibrary,1.0
90f18015-849e-48e9-85d6-3326d2f93b13,9788850200009,0679309411,The God of Small Things,openlibrary,0.98
cb34cb2e-58d6-4752-8de6-ea142e2a7c1f,9780345803504,1784757764,Shades of Grey,openlibrary,1.0
